# 전체 ETF: 1072개 / 국내주식형: 763개
# 매칭: 702개 / 미매칭: 61개

== 국내 주식형 ETF ==
[OK] 475050	ACE KPOP포커스
[OK] 480030	ACE 미국500데일리타겟커버드콜(합성)
[OK] 325020	KODEX 배당가치
[OK] 455860	SOL 2차전지소부장Fn
[OK] 372330	KODEX 차이나항셍테크
[OK] 483290	KODEX 미국배당다우존스타겟커버드콜
[OK] 429000	TIGER 미국S&P500배당귀족
[OK] 481180	SOL 미국AI소프트웨어
[OK] 319640	TIGER 골드선물(H)
[OK] 0015B0	KoAct 미국나스닥성장기업액티브
[OK] 0066W0	SOL 국제금
[OK] 0005A0	KODEX 미국S&P500데일리커버드콜OTM
[OK] 403790	마이다스 코스피액티브
[OK] 325010	KODEX 성장주
[OK] 245340	TIGER 미국다우존스30
[OK] 219480	KODEX 미국S&P500선물(H)
[OK] 0005D0	SOL 전고체배터리&실리콘음극재
[OK] 367760	RISE 네트워크인프라
[OK] 309230	ACE 미국WideMoat동일가중
[OK] 0162M0	KODEX 금융채1~2년(AA-이상)PLUS액티브
[OK] 0101N0	RISE AI전력인프라
[OK] 0104N0	TIGER 200타겟위클리커버드콜
[OK] 367770	RISE 수소경제테마
[OK] 474590	WON 반도체밸류체인액티브
[OK] 473640	HANARO 글로벌금채굴기업
[OK] 488500	TIGER 미국S&P500동일가중
[OK] 0127M0	ACE 미국대형가치주액티브
[OK] 0151S0	KODEX 미국AI반도체TOP3플러스
[OK] 495060	TIME 코리아밸류업액티브
[OK] 464930	TIGER 글로벌혁신블루칩TOP10
[OK] 464310	TIGER 글로벌AI&로보틱스 INDXX
[OK] 168580	ACE 중국본토CSI300
[OK] 0118Z0	ACE 미국AI테크핵심산업액티브
[OK] 0074K0	KoAct K수출핵심기업TOP30액티브
[OK] 490480	SOL K방산
[OK] 152870	파워 200
[OK] 0115D0	KODEX K조선TOP10
[OK] 0069M0	1Q 미국나스닥100
[OK] 479730	TIGER 인도빌리언컨슈머
[OK] 399110	SOL 미국S&P500ESG
[OK] 228810	TIGER 미디어컨텐츠
[OK] 332500	ACE 200TR
[OK] 157490	TIGER 소프트웨어
[OK] 0092B0	SOL 한국원자력SMR
[OK] 490600	RISE 미국배당100데일리고정커버드콜
[OK] 423170	SOL 한국형글로벌반도체액티브
[OK] 495550	SOL 코리아밸류업TR
[OK] 0036R0	RISE 미국휴머노이드로봇
[OK] 394660	TIGER 글로벌자율주행&전기차SOLACTIVE
[OK] 0131W0	1Q 단기특수은행채액티브
[OK] 328370	PLUS 코스피TR
[OK] 304940	KODEX 미국나스닥100선물(H)
[OK] 494220	UNICORN SK하이닉스밸류체인액티브
[OK] 411420	KODEX 미국나스닥AI테크액티브
[OK] 203780	TIGER 미국나스닥바이오
[OK] 364960	TIGER BBIG
[OK] 363580	KODEX 200IT TR
[OK] 491820	HANARO 전력설비투자
[OK] 480040	ACE 미국반도체데일리타겟커버드콜(합성)
[OK] 359210	KODEX 코스피TR
