ticker,market_type,corp_name,corp_code
A044820,KOSPI,코스맥스비티아이(주),1348110018641
A290740,KOSDAQ,(주)액트로,1352110033862
A000390,KOSPI,삼화페인트공업(주),1101110014433
A002630,KOSPI,(주)오리엔트바이오,1101110030116
A085660,KOSDAQ,(주)차바이오텍,1345110065662
A171090,KOSDAQ,(주)선익시스템,1101110700555
A090360,KOSDAQ,(주)로보스타,1101111655393
A085910,KOSDAQ,(주)네오티스,1346110015095
A089890,KOSDAQ,(주)코세스,1243110041444
A278470,KOSPI,(주)에이피알,1101115535012
A403550,KOSPI,(주)쏘카,2201110087049
A067310,KOSDAQ,하나마이크론(주),1648110021208
A015020,KOSPI,(주)이스타코,1243110006042
A011930,KOSPI,주식회사 신성이엔지,1301110008664
A039840,KOSDAQ,(주)디오,1845110003290
A109610,KOSDAQ,에스와이(주),1301110064351
A006980,KOSPI,(주)우성,1601110001167
