crno,sic_name,enp_rpr_fnm,address,homepage,enp_main_biz_name,corp_name
1101111264764,,정욱,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩)",www.jype.com,,JYP Ent.
1301110008789,,"권혁홍, 권택환 (각자대표이사)",경기도 안산시 단원구 별망로 129 -,www.dygroup.co.kr,,신대양제지
1347110001159,,"손연호, 손흥락, 장희철",경기도 평택시 서탄면 수월암길 95 -,www.kdnavien.co.kr,,경동나비엔
1311110319656,,정규동,경기도 성남시 수정구 금토로40번길 26 A동 4층,www.gaonchips.com,,가온칩스
1243110006456,,전운관,인천광역시 남동구 남동대로 248 (주)에이엔피,anpcb.co.kr,,에이엔피
1101110037740,,"박승우,곽준상,손영일,김덕구",서울특별시 강남구  삼성로 438 도화타워,www.dohwa.co.kr,,도화엔지니어링
1347110002644,,정학헌,서울특별시 강남구 압구정로 104 501호,spinc.co.kr,,신풍
1812110002548,,이도균,울산광역시 울주군 온산읍 우봉강양로 3-36 -,www.moorimpnp.co.kr,,무림P&P
1101110256788,,승만호,서울특별시 양천구  신정로 167,,,서부T&D
1313110038864,,"석종욱, 문승보(각자대표)",경기도 화성시 동탄면 동탄산단6길 15-13,www.gst-in.com,,GST
1101110141369,,고동수,경기도 안산시 단원구 산성로 21 (초지동),www.iljeong.co.kr,,일정실업
1101111670044,,김병수,서울특별시 강서구 마곡중앙5로1길 37,www.robotis.com,,로보티즈
1101110016679,,허승범,"서울특별시 서초구  효령로 155 (방배동, 삼일제약 사옥)",www.samil-pharm.com,,삼일제약
1101113136383,,민동욱,"인천광역시 연수구 송도과학로16번길 13-39 엠씨넥스 타워 송도동, 엠씨넥스타워",www.mcnex.co.kr,,엠씨넥스
1101110048002,,이의범,"서울특별시 금천구 벚꽃로 278 6층(가산동,에스제이테크노빌)",www.sgsegye.com,,SG세계물산
1101112137358,,대표이사 사장 이계인,서울특별시 강남구 테헤란로 440 포스코센터,www.poscointl.com,,포스코인터내셔널
1101111468754,,김영섭,경기도 성남시 분당구 불정로 90 KT 본사,www.kt.com,,케이티
2059110000169,,"김진곤, 김두인(각자대표)",광주광역시 광산구 용아로 717,www.kumhoht.co.kr,,금호에이치티
1101115248376,,신동우,경상북도 상주시 청리면 마공공단로 60 -,nanoin.com,,나노
1812110000758,,"최정연, 이동원 (각자 대표이사)",울산광역시 북구 공단길 4 (효문동),www.sjku.co.kr,,SJG세종
1101110065395,,"대표이사 사장 정일선, 대표이사 전무 김성문(각자 대표이사)",경상남도 창원시 성산구  적현로 124,www.hyundai-bngsteel.com,,현대비앤지스틸
1311110028116,,김응수,세종특별자치시   전동면 배일길 31,www.chemtronics.co.kr,,켐트로닉스
1101110095152,,신성엽,서울특별시 서초구  남부순환로 2495 원림빌딩 9층,www.wonlim.co.kr,,원림
1101113691973,,"곽근호, 황승목(각자대표)","서울특별시 강남구 테헤란로4길 14 14층(역삼동, 미림타워)",www.aplusga.com,,에이플러스에셋
1449110000072,,김광재,강원도 정선군 사북읍 소금강로 3583-1 1층 101호(하이시티1),www.hlbglobal.co.kr,,HLB글로벌
1101111686728,,김영신,경기도 안양시 동안구 시민대로 115 503호(호계동),joongangdnm.co.kr,,중앙첨단소재
1101119084198,,김광진,서울특별시 중구 삼일대로 343,www.daishinvaluereit.com/,,대신밸류리츠
1101110031560,,주 원,서울특별시 영등포구 여의대로 108 파크원 타워1,www.sangsanginib.com,,상상인증권
1101110180888,,윤세철,서울특별시 마포구 독막로 324 동서빌딩,www.dongsuh.com,,동서
1101110126783,,박의헌,서울특별시 강남구 테헤란로8길 8 센터포인트강남,www.fnfholdings.com,,F&F 홀딩스
1101110017411,,"김종수, 이동철(각자대표)","경기도 용인시 기흥구 흥덕중앙로 120 비122호(영덕동, 흥덕유타워)",www.namkwang.co.kr,,남광토건
